Source,Target,weight
Melisandre,Mully,2
Arys Oakheart,Jon Snow,2
Jaime Lannister,Shagwell,2
Melisandre,Randyll Tarly,2
Barristan Selmy,Mary Mertyns,2
Jaime Lannister,Selyse Florent,2
Jaime Lannister,Podrick Payne,2
Barristan Selmy,Mance Rayder,2
Arya Stark,Qyburn,2
Nymeria Sand,Victarion Greyjoy,2
Catelyn Stark,Podrick Payne,2
Cersei Lannister,Mance Rayder,2
Barristan Selmy,Doran Martell,2
Arya Stark,Wylis Manderly,2
Barristan Selmy,Jhogo,2
Cersei Lannister,Mary Mertyns,2
Bran Stark,Cressen,2
Arys Oakheart,Asha Greyjoy,2
Cersei Lannister,Merrett Frey,2
Daenerys Targaryen,Jhogo,2
Melisandre,Victarion Greyjoy,2
Kevan Lannister,Mance Rayder,2
Jaime Lannister,Petyr Baelish,2
Cersei Lannister,Jhogo,2
Cersei Lannister,Nymeria Sand,2
Kevan Lannister,Melisandre,2
Jaime Lannister,Jhogo,2
Jaime Lannister,Qyburn,2
Catelyn Stark,Qyburn,2
Asha Greyjoy,Daenerys Targaryen,2
Cersei Lannister,Selyse Florent,2
Cersei Lannister,Shagwell,2
Mary Mertyns,Tyrion Lannister,2
Jaime Lannister,Nymeria Sand,2
Barristan Selmy,Randyll Tarly,2
Jaime Lannister,Mary Mertyns,2
Jaime Lannister,Robb Stark,2
Barristan Selmy,Sansa Stark,2
Arys Oakheart,Shagwell,2
Barristan Selmy,Selyse Florent,2
Daenerys Targaryen,Doran Martell,2
Arya Stark,Ramsay Snow,2
Daenerys Targaryen,Dancy,2
Cersei Lannister,Goghor the Giant,2
Cersei Lannister,Wylis Manderly,2
Cersei Lannister,Yohn Royce,2
Mully,Tyrion Lannister,2
Arya Stark,Shagwell,2
Chett,Sansa Stark,2
Daenerys Targaryen,Goghor the Giant,2
Cersei Lannister,Ramsay Snow,2
Chett,Samwell Tarly,2
Arya Stark,Mully,2
Arya Stark,Mya Stone,2
Cersei Lannister,Doran Martell,2
Merrett Frey,Roose Bolton,2
Jaime Lannister,Mully,2
Arya Stark,Tommen Baratheon,2
Arya Stark,Stannis Baratheon,2
Arys Oakheart,Nymeria Sand,2
Mya Stone,Sansa Stark,2
Cersei Lannister,Ellaria Sand,2
Jaime Lannister,Salladhor Saan,2
Jaime Lannister,Ramsay Snow,2
Kevan Lannister,Theon Greyjoy,2
Catelyn Stark,Roose Bolton,2
Arys Oakheart,Brienne Tarth,2
Doran Martell,Tyrion Lannister,2
Jaime Lannister,Stannis Baratheon,2
Brynden Rivers,Jon Connington,2
Davos Seaworth,Tommen Baratheon,2
Brienne Tarth,Jaime Lannister,2
Jon Connington,Mance Rayder,2
Eddard Stark,Tywin Lannister,2
Brienne Tarth,Cersei Lannister,2
Catelyn Stark,Dancy,2
Jon Connington,Kevan Lannister,2
Bran Stark,Victarion Greyjoy,2
Randyll Tarly,Theon Greyjoy,2
Jon Snow,Mully,2
Bran Stark,Tommen Baratheon,2
Ramsay Snow,Tyrion Lannister,2
Ramsay Snow,Theon Greyjoy,2
Dancy,Tyrion Lannister,2
Aeron Greyjoy,Catelyn Stark,2
Dancy,Theon Greyjoy,2
Dancy,Sansa Stark,2
Catelyn Stark,Ellaria Sand,2
Qyburn,Sansa Stark,2
Qyburn,Samwell Tarly,2
Areo Hotah,Brynden Rivers,2
Aeron Greyjoy,Arianne Martell,2
Areo Hotah,Doran Martell,2
Aemon Targaryen (son of Maekar I),Tyrion Lannister,2
Jhogo,Jon Connington,2
Dancy,Jon Snow,2
Bran Stark,Robb Stark,2
Areo Hotah,Kevan Lannister,2
Dancy,Davos Seaworth,2
Jon Connington,Mary Mertyns,2
Davos Seaworth,Salladhor Saan,2
Bran Stark,Ramsay Snow,2
Brynden Rivers,Jaime Lannister,2
Davos Seaworth,Podrick Payne,2
Sansa Stark,Stannis Baratheon,2
Sansa Stark,Shagwell,2
Samwell Tarly,Yohn Royce,2
Brynden Rivers,Cersei Lannister,2
Samwell Tarly,Wylis Manderly,2
Brynden Rivers,Daenerys Targaryen,2
Jon Connington,Theon Greyjoy,2
Brynden Rivers,Davos Seaworth,2
Davos Seaworth,Ramsay Snow,2
Davos Seaworth,Mully,2
Sansa Stark,Wylis Manderly,2
Samwell Tarly,Theon Greyjoy,2
Samwell Tarly,Stannis Baratheon,2
Samwell Tarly,Shagwell,2
Salladhor Saan,Tyrion Lannister,2
Ellaria Sand,Merrett Frey,2
Davos Seaworth,Mance Rayder,2
Jon Connington,Victarion Greyjoy,2
Sansa Stark,Yohn Royce,2
Selyse Florent,Tyrion Lannister,2
Brienne Tarth,Shagwell,2
Ellaria Sand,Roose Bolton,2
Brienne Tarth,Sansa Stark,2
Brienne Tarth,Samwell Tarly,2
Roose Bolton,Tommen Baratheon,2
Ellaria Sand,Sansa Stark,2
Roose Bolton,Sansa Stark,2
Jon Connington,Melisandre,2
Areo Hotah,Mance Rayder,2
Tommen Baratheon,Tyrion Lannister,2
Daenerys Targaryen,Salladhor Saan,2
Jaime Lannister,Wylis Manderly,2
Jaime Lannister,Tommen Baratheon,2
Aemon Targaryen (son of Maekar I),Cersei Lannister,2
Jon Snow,Salladhor Saan,2
Bran Stark,Mance Rayder,2
Petyr Baelish,Sansa Stark,2
Arianne Martell,Nymeria Sand,2
Daenerys Targaryen,Selyse Florent,2
Daenerys Targaryen,Mully,2
Jon Snow,Petyr Baelish,2
Arya Stark,Gendry,2
Arianne Martell,Shagwell,2
Daenerys Targaryen,Mary Mertyns,2
Doran Martell,Mance Rayder,2
Jhogo,Tyrion Lannister,2
Barristan Selmy,Goghor the Giant,2
Aemon Targaryen (son of Maekar I),Arya Stark,2
Jon Snow,Tommen Baratheon,2
Arya Stark,Brienne Tarth,2
Daenerys Targaryen,Podrick Payne,2
Arya Stark,Brynden Rivers,2
Arya Stark,Doran Martell,2
Arya Stark,Dancy,2
