canonical_source,canonical_target,weight
Tyrion Lannister,Camarron of the Count,1
Brienne Tarth,Arys Oakheart,1
Tyrion Lannister,Doran Martell,1
Theon Greyjoy,Harrag Sharp,1
Tyrion Lannister,Drogo,1
Theon Greyjoy,Gevin Harlaw,1
Catelyn Stark,Tommen Baratheon,1
Bran Stark,Waltyr Frey,1
Theon Greyjoy,Dancy,1
Theon Greyjoy,Jon Connington,1
Tyrion Lannister,Bronn,1
Tyrion Lannister,Brynden Rivers,1
Brienne Tarth,Victarion Greyjoy,1
Catelyn Stark,Robert Arryn,1
Theon Greyjoy,Randyll Tarly,1
Theon Greyjoy,Stygg,1
Theon Greyjoy,Tommen Baratheon,1
Catelyn Stark,Marissa Frey,1
Theon Greyjoy,Urzen,1
Catelyn Stark,Ellaria Sand,1
Tyrion Lannister,Aemon Targaryen (son of Maekar I),1
Theon Greyjoy,Ramsay Snow,1
Tyrion Lannister,Hugo Wull,1
Catelyn Stark,Captain of the Myraham,1
Theon Greyjoy,Osha,1
Catelyn Stark,Roose Bolton,1
Catelyn Stark,Barra's mother,1
Catelyn Stark,Alyx Frey,1
Tyrion Lannister,Ellaria Sand,1
Tyrion Lannister,Kevan Lannister,1
Bran Stark,Merrett Frey,1
Arya Stark,Pylos,1
Arya Stark,Pycelle,1
Tywin Lannister,Aemon Targaryen (son of Maekar I),1
Tywin Lannister,Archibald Yronwood,1
Tywin Lannister,Arianne Martell,1
Tywin Lannister,Arya Stark,1
Arya Stark,Pia,1
Arya Stark,Patchface,1
Arya Stark,Merrett Frey,1
Arya Stark,Harsley,1
Tywin Lannister,Melisandre,1
Arya Stark,Gendry,1
Arya Stark,Fletcher Dick,1
Tywin Lannister,Selyse Florent,1
Victarion Greyjoy,Arya Stark,1
Victarion Greyjoy,Baelor Blacktyde,1
Victarion Greyjoy,Brynden Rivers,1
Aeron Greyjoy,Euron Greyjoy,1
Aeron Greyjoy,Erik Ironmaker,1
Victarion Greyjoy,Sybelle Glover,1
Tyrion Lannister,Will,1
Tyrion Lannister,Tybero Istarion,1
Tyrion Lannister,Jacelyn Bywater,1
Tyrion Lannister,Timett,1
Bran Stark,Cressen,1
Asha Greyjoy,Rodrik Harlaw,1
Catelyn Stark,Utherydes Wayn,1
Tyrion Lannister,Leonette Fossoway,1
Tyrion Lannister,Longwater Pyke,1
Tyrion Lannister,Mance Rayder,1
Arya Stark,Yna,1
Tyrion Lannister,Merrett Frey,1
Tyrion Lannister,Moqorro,1
Arya Stark,Wylis Manderly,1
Tyrion Lannister,Parmen Crane,1
Tyrion Lannister,Penny,1
Arya Stark,Theon Greyjoy,1
Tyrion Lannister,Preston Greenfield,1
Arya Stark,Tagganaro,1
Tyrion Lannister,Randyll Tarly,1
Tyrion Lannister,Roose Bolton,1
Tyrion Lannister,Samwell Tarly,1
Tyrion Lannister,Snatch,1
Catelyn Stark,Tywin Lannister,1
Jon Snow,Mully,1
Cersei Lannister,Bran Stark,1
Jaime Lannister,Rennifer Longwaters,1
Jon Snow,Albett,1
POV: The Kingbreaker,Bran Stark,1
POV: The Kingbreaker,Cersei Lannister,1
Jon Connington,Quentyn Martell,1
Jaime Lannister,Wylis Manderly,1
Jaime Lannister,Urswyck,1
POV: The Kingbreaker,Jhogo,1
Jaime Lannister,Shagwell,1
POV: The Kingbreaker,Larraq,1
Jaime Lannister,Philip Plumm,1
Jon Snow,Barristan Selmy,1
Jaime Lannister,Obara Sand,1
Jaime Lannister,Lyle Crakehall,1
Jaime Lannister,Loreza Sand,1
POV: The Queenmaker,Sansa Stark,1
Jaime Lannister,Jeyne Westerling,1
POV: The Watcher,Arya Stark,1
POV: The Watcher,Barristan Selmy,1
Jaime Lannister,Ilyn Payne,1
Jaime Lannister,Edmure Tully,1
Jon Snow,Asha Greyjoy,1
Jon Snow,Beardless Dick,1
Jaime Lannister,Bran Stark,1
Jon Snow,Kegs,1
Jon Snow,Pate (ranger),1
Jon Snow,Merrett Frey,1
Jon Snow,Ragwyle,1
Jon Snow,Ramsay Snow,1
Jon Snow,Randyll Tarly,1
Jon Snow,Matthar,1
Jon Snow,Mance Rayder,1
Jon Snow,Lancel Lannister,1
Jon Snow,Todder,1
Jon Snow,Kedge Whiteye,1
Jon Snow,Bowen Marsh,1
Jon Snow,Tywin Lannister,1
Jon Snow,Viserys Targaryen,1
Jon Snow,Jaremy Rykker,1
Melisandre,Daenerys Targaryen,1
Jon Snow,Emrick,1
Melisandre,Jonos Bracken,1
Melisandre,Mully,1
Jon Snow,Chett,1
POV: The Dragontamer,Barristan Selmy,1
POV: The Watcher,Davos Seaworth,1
Jaime Lannister,Asha Greyjoy,1
Cersei Lannister,Caleotte,1
Sansa Stark,Osfryd Kettleblack,1
Daenerys Targaryen,Gilly,1
Sansa Stark,Horton Redfort,1
Daenerys Targaryen,Catelyn Stark,1
Cersei Lannister,Walder Rivers,1
Cersei Lannister,Tristifer Botley,1
Sansa Stark,Loras Tyrell,1
Sansa Stark,Maegor I Targaryen,1
Sansa Stark,Mord,1
Sansa Stark,Mya Stone,1
Sansa Stark,Oswell Kettleblack,1
Daenerys Targaryen,Jon Snow,1
Cersei Lannister,Qyburn,1
Cersei Lannister,Nymeria Sand,1
Sansa Stark,Tywin Lannister,1
Jon Snow,Owen the Oaf,1
Theon Greyjoy,Aggar,1
Theon Greyjoy,Areo Hotah,1
Cersei Lannister,Lum,1
Cersei Lannister,Jocelyn Swyft,1
Cersei Lannister,Catelyn Stark,1
Daenerys Targaryen,Godry Farring,1
Daenerys Targaryen,Mance Rayder,1
Jaime Lannister,Amerei Frey,1
Davos Seaworth,Renly Baratheon,1
Erik Ironmaker,Sansa Stark,1
POV: The Watcher,Varys,1
Samwell Tarly,Aemon Steelsong,1
Erik Ironmaker,Asha Greyjoy,1
Samwell Tarly,Arys Oakheart,1
Erik Ironmaker,Arianne Martell,1
Eddard Stark,Joss Stilwood,1
Davos Seaworth,Tyrek Lannister,1
Samwell Tarly,Clydas,1
Davos Seaworth,Petyr Baelish,1
Daenerys Targaryen,Merrett Frey,1
Davos Seaworth,Joanna Lannister,1
Davos Seaworth,Godric Borrell,1
Samwell Tarly,Petyr Baelish,1
Samwell Tarly,Quhuru Mo,1
Davos Seaworth,Edric Storm,1
Samwell Tarly,Stannis Baratheon,1
Sansa Stark,Aeron Greyjoy,1
Davos Seaworth,Bran Stark,1
Sansa Stark,Boros Blount,1
Jon Snow,Baelor I Targaryen,1
